wnid,name
n11978233,"sunflower, helianthus"
n11672269,bloomer
n11719286,"peony, paeony"
n11721337,"lesser celandine, pilewort, Ranunculus ficaria"
n11724660,"pheasant's-eye, Adonis annua"
n11725015,"anemone, windflower"
n11726707,"rue anemone, Anemonella thalictroides"
n11727091,"columbine, aquilegia, aquilege"
n11732567,"rocket larkspur, Consolida ambigua, Delphinium ajacis"
n11733054,delphinium
n11736694,nigella
n11792341,"spathiphyllum, peace lily, spathe flower"
n11793779,"calla lily, calla, arum lily, Zantedeschia aethiopica"
n11805956,sandwort
n11807979,"pink, garden pink"
n11810358,"baby's breath, babies'-breath, Gypsophila paniculata"
n11811473,"lychnis, catchfly"
n11812910,"sandwort, Moehringia lateriflora"
n11813077,"sandwort, Moehringia mucosa"
n11814584,"soapwort, hedge pink, bouncing Bet, bouncing Bess, Saponaria officinalis"
n11815491,"silene, campion, catchfly"
n11818636,"cowherb, cow cockle, Vaccaria hispanica, Vaccaria pyramidata, Saponaria vaccaria"
n11820965,"fig marigold, pebble plant"
n11826198,"globe amaranth, bachelor's button, Gomphrena globosa"
n11836327,"scarlet musk flower, Nyctaginia capitata"
n11839460,umbrellawort
n11839568,four o'clock
n11857696,portulaca
n11859275,"Carolina spring beauty, Claytonia caroliniana"
n11859472,"spring beauty, Clatonia lanceolata"
n11859737,"Virginia spring beauty, Claytonia virginica"
n11883328,"wallflower, Cheiranthus cheiri, Erysimum cheiri"
n11883628,prairie rocket
n11887119,wallflower
n11887310,prairie rocket
n11887750,"western wall flower, Erysimum asperum, Cheiranthus asperus, Erysimum arkansanum"
n11888424,heliophila
n11888800,"damask violet, Dame's violet, sweet rocket, Hesperis matronalis"
n11889619,candytuft
n11891175,"sweet alyssum, sweet alison, Lobularia maritima"
n11892029,"Malcolm stock, stock"
n11892181,"Virginian stock, Virginia stock, Malcolmia maritima"
n11892637,"stock, gillyflower"
n11896141,"schizopetalon, Schizopetalon walkeri"
n11900569,poppy
n11904109,corydalis
n11905749,"horn poppy, horned poppy, yellow horned poppy, sea poppy, Glaucium flavum"
n11915214,"composite, composite plant"
n11918286,ageratum
n11918808,"sweet sultan, Amberboa moschata, Centaurea moschata"
n11920498,ammobium
n11925303,African daisy
n11925450,"blue-eyed African daisy, Arctotis stoechadifolia, Arctotis venusta"
n11931918,aster
n11939491,daisy
n11941924,"Swan River daisy, Brachycome Iberidifolia"
n11943407,calendula
n11943992,"China aster, Callistephus chinensis"
n11946727,catananche
n11947802,"cornflower, bachelor's button, bluebottle, Centaurea cyanus"
n11948469,"sweet sultan, Centaurea imperialis"
n11950345,chrysanthemum
n11955896,"mistflower, mist-flower, ageratum, Conoclinium coelestinum, Eupatorium coelestinum"
n11958080,"cosmos, cosmea"
n11958499,"brass buttons, Cotula coronopifolia"
n11958888,billy buttons
n11960245,"dahlia, Dahlia pinnata"
n11961446,"cape marigold, sun marigold, star of the veldt"
n11962272,coneflower
n11969607,"blue daisy, blue marguerite, Felicia amelloides"
n11969806,"kingfisher daisy, Felicia bergeriana"
n11970101,"cotton rose, cudweed, filago"
n11971248,gazania
n11971783,African daisy
n11988596,"tidytips, tidy tips, Layia platyglossa"
n11989869,"oxeye daisy, ox-eyed daisy, marguerite, moon daisy, white daisy, Leucanthemum vulgare, Chrysanthemum leucanthemum"
n11992479,"Texas star, Lindheimera texana"
n11992806,"African daisy, yellow ageratum, Lonas inodora, Lonas annua"
n12001707,"cineraria, Pericallis cruenta, Senecio cruentus"
n12001924,"florest's cineraria, Pericallis hybrida"
n12008252,coneflower
n12013511,white-topped aster
n12020184,"stokes' aster, cornflower aster, Stokesia laevis"
n12020507,marigold
n12022054,"painted daisy, pyrethrum, Tanacetum coccineum, Chrysanthemum coccineum"
n12026018,"Mexican sunflower, tithonia"
n12026476,"Easter daisy, stemless daisy, Townsendia Exscapa"
n12030092,ursinia
n12033504,xeranthemum
n12034141,"zinnia, old maid, old maid flower"
n12035631,"blazing star, Mentzelia livicaulis, Mentzelia laevicaulis"
n12035907,"bartonia, Mentzelia lindleyi"
n12041446,"orchid, orchidaceous plant"
n12093329,"cyclamen, Cyclamen purpurascens"
n12093600,"sowbread, Cyclamen hederifolium, Cyclamen neopolitanum"
n12252168,shortia
n12290748,centaury
n12293723,gentian
n12360108,begonia
n12418507,"wandflower, Sparaxis tricolor"
n12443736,"coral drops, Bessera elegans"
n12444095,Christmas bells
n12475035,"bellwort, merry bells, wild oats"
n12480456,"tuberose, Polianthes tuberosa"
n12606438,commelina
n12683407,"scabious, scabiosa"
n12799776,"woodland star, Lithophragma affine, Lithophragma affinis, Tellima affinis"
n12830222,"achimenes, hot water plant"
n12831141,"lace-flower vine, Alsobia dianthiflora, Episcia dianthiflora"
n12833149,"African violet, Saintpaulia ionantha"
n12833985,streptocarpus
n12836862,"scorpionweed, scorpion weed, phacelia"
n12877244,snapdragon
n12879527,"calceolaria, slipperwort"
n12883628,gerardia
n12884260,"toadflax, butter-and-eggs, wild snapdragon, devil's flax, Linaria vulgaris"
n12890265,"veronica, speedwell"
n12898774,"bush violet, browallia"
n12909421,petunia
n12913144,"butterfly flower, poor man's orchid, schizanthus"
n12914923,"verbena, vervain"
n12950126,valerian
n12951146,"red valerian, French honeysuckle, Centranthus ruber"
